category,subcategory,service_type,name,short_description,description,duration,session,price,benefits,image,short_description_suggested,description_suggested
Tvarování těla,Budování svalů,package,Budování svalů – kombo 2 partie,Kombo: dvě partie v jednom 60min ošetření,"EMS kombo (2 partie, 60 minut): simultánní zatížení svalových skupin pro maximální efekt. Podpora spalování tuků a výrazné zpevnění.",60,1,6060,"Maximální efekt v čase, výrazné zpevnění, podpora spalování tuků, simultánní aktivace",service-ems.jpg,Profesionální budování svalů – kombo 2 partie pro viditelné zlepšení. Maximální efekt v čase. Délka: 60 min.,"Budování svalů – kombo 2 partie je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Maximální efekt v čase
• výrazné zpevnění
• podpora spalování tuků
• simultánní aktivace

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Tvarování těla,Budování svalů,package,Budování svalů – balíček kombo (5 ošetření),Kombo balíček 5 ošetření (2 partie),"EMS kombo (2 partie, 60 minut): simultánní zatížení svalových skupin pro maximální efekt. Podpora spalování tuků a výrazné zpevnění.",60,5,9450,"Postupný progres, tvarování a zpevnění, efektivní plán, úspora oproti jednotlivým sezením",service-ems.jpg,Profesionální budování svalů – balíček kombo (5 ošetření) pro viditelné zlepšení. Postupný progres. Délka: 60 min.,"Budování svalů – balíček kombo (5 ošetření) je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Postupný progres
• tvarování a zpevnění
• efektivní plán
• úspora oproti jednotlivým sezením

Plán a doporučení:
Doporučený plán: 5. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Tvarování těla,Budování svalů,package,Budování svalů – balíček kombo (10 ošetření),Kombo balíček 10 ošetření (2 partie),"EMS kombo (2 partie, 60 minut): simultánní zatížení svalových skupin pro maximální efekt. Podpora spalování tuků a výrazné zpevnění.",60,10,17850,"Intenzivní série pro výrazné výsledky, zpevnění, formování, výhodná cena za sezení",service-ems.jpg,Profesionální budování svalů – balíček kombo (10 ošetření) pro viditelné zlepšení. Intenzivní série pro výrazné výsledky. Délka: 60 min.,"Budování svalů – balíček kombo (10 ošetření) je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Intenzivní série pro výrazné výsledky
• zpevnění
• formování
• výhodná cena za sezení

Plán a doporučení:
Doporučený plán: 10. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Tvarování těla,Budování svalů,package,Budování svalů – balíček 2 partie (8 ošetření),Balíček 8 EMS ošetření pro 2 partie,"Balíček EMS: strukturovaný tréninkový plán pro dlouhodobé výsledky. Postupné zpevnění, tvarování a zlepšení vytrvalosti svalů.",60,8,9880,"Dlouhodobé výsledky, postupné zpevnění, tvarování postavy, zlepšení vytrvalosti",service-ems.jpg,Profesionální budování svalů – balíček 2 partie (8 ošetření) pro viditelné zlepšení. Dlouhodobé výsledky. Délka: 60 min.,"Budování svalů – balíček 2 partie (8 ošetření) je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Dlouhodobé výsledky
• postupné zpevnění
• tvarování postavy
• zlepšení vytrvalosti

Plán a doporučení:
Doporučený plán: 8. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Doplňkové služby,single,Depilace obličeje,Jemné odstranění chloupků pro hedvábně hladkou pleť,"Šetrně odstraníme jemné chloupky z obličeje profesionální technikou bez podráždění. Pleť je ihned hladší a makeup se dokonale nanáší. Vaše pleť je hedvábná, póry působí čistěji a vzhled je upravenejší.",20,1,150,"Hladká pleť, čistší póry, lepší aplikace makeupu, okamžitý efekt",service-cosmetic.jpg,Profesionální depilace obličeje pro viditelné zlepšení. Hladká pleť. Délka: 20 min.,"Depilace obličeje je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Hladká pleť
• čistší póry
• lepší aplikace makeupu
• okamžitý efekt

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 20 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
HIFU ošetření,HIFU tvář,single,HIFU facelift – celý obličej,Neinvazivní lifting celého obličeje 7D HIFU,"Komplexní 7D HIFU pro celý obličej (bez očního okolí): cílené působení ve více hloubkách zpevňuje kontury, stimuluje novotvorbu kolagenu a vyhlazuje jemné vrásky. Okamžitý pocit vypnutí, plný efekt se rozvíjí v dalších týdnech. Délka: 60 minut.",60,1,5500,"Zpevnění kontur, stimulace kolagenu, vyhlazení jemných vrásek, dlouhodobý efekt",service-hifu.jpg,Profesionální hifu facelift – celý obličej pro viditelné zlepšení. Zpevnění kontur. Délka: 60 min.,"HIFU facelift – celý obličej je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Zpevnění kontur
• stimulace kolagenu
• vyhlazení jemných vrásek
• dlouhodobý efekt

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
HIFU ošetření,HIFU tvář,package,HIFU facelift – obličej + krk,HIFU 7D pro obličej i krk s výrazným lifting efektem,"Rozšířená 7D HIFU pro obličej a krk: jednotné vypnutí linií, zpevnění kontur a podpora kolagenu v klíčových hloubkách. Viditelně pevnější profil a hladší pleť bez rekonvalescence. Délka: 90 minut.",90,1,6500,"Lifting obličeje i krku, zpevnění kontur, podpora kolagenu, bez rekonvalescence",service-hifu.jpg,Profesionální hifu facelift – obličej + krk pro viditelné zlepšení. Lifting obličeje i krku. Délka: 90 min.,"HIFU facelift – obličej + krk je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Lifting obličeje i krku
• zpevnění kontur
• podpora kolagenu
• bez rekonvalescence

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 90 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
HIFU ošetření,HIFU tvář,package,HIFU facelift – krk a podbradek,Cílené zpevnění krku a linie brady,Precizní HIFU lifting krku a podbradku: směřovaná energie zpevňuje povolenou kůži a zpřesňuje linii brady. Postupně se zlepšuje elasticita i definice profilu. Délka: 45 minut.,45,1,3900,"Zpevnění krku, definice linie brady, lepší elasticita, bez operace",service-hifu.jpg,Profesionální hifu facelift – krk a podbradek pro viditelné zlepšení. Zpevnění krku. Délka: 45 min.,"HIFU facelift – krk a podbradek je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Zpevnění krku
• definice linie brady
• lepší elasticita
• bez operace

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 45 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
HIFU ošetření,HIFU tvář,package,HIFU facelift – čelo a oční okolí,Jemná HIFU péče pro čelo a oční okolí,"Šetrné HIFU ošetření horní části obličeje: redukuje jemné linky na čele a v očním okolí, napomáhá vypnutí a rozjasnění pohledu. Výsledky přibývají v týdnech po ošetření. Délka: 30 minut.",30,1,2900,"Redukce jemných linek, vypnutí očního okolí, svěžejší vzhled, šetrné provedení",service-hifu.jpg,Profesionální hifu facelift – čelo a oční okolí pro viditelné zlepšení. Redukce jemných linek. Délka: 30 min.,"HIFU facelift – čelo a oční okolí je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Redukce jemných linek
• vypnutí očního okolí
• svěžejší vzhled
• šetrné provedení

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 30 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
HIFU ošetření,HIFU tvář,single,HIFU facelift – dolní část obličeje,Zpevnění dolní části obličeje a podbradku,Cílené HIFU pro dolní část obličeje a podbradek: zpevňuje povadlé kontury a podporuje kolagen pro mladistvější profil. Přirozený lifting bez rekonvalescence. Délka: 60 minut.,60,1,4500,"Zpevnění kontur, mladistvější profil, podpora kolagenu, přirozený lifting",service-hifu.jpg,Profesionální hifu facelift – dolní část obličeje pro viditelné zlepšení. Zpevnění kontur. Délka: 60 min.,"HIFU facelift – dolní část obličeje je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Zpevnění kontur
• mladistvější profil
• podpora kolagenu
• přirozený lifting

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
HIFU ošetření,HIFU tvář,single,HIFU facelift – oblast očí,Jemné HIFU ošetření citlivého očního okolí,"HIFU zaměřené na oční okolí: zjemňuje vrásky, podporuje vypnutí a osvěžuje pohled bez zatížení citlivé oblasti. Výsledek se dále zlepšuje v průběhu týdnů. Délka: 30 minut.",30,1,2000,"Redukce jemných vrásek, zpevnění očního okolí, rozjasněný pohled, šetrné ošetření",service-hifu.jpg,Profesionální hifu facelift – oblast očí pro viditelné zlepšení. Redukce jemných vrásek. Délka: 30 min.,"HIFU facelift – oblast očí je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Redukce jemných vrásek
• zpevnění očního okolí
• rozjasněný pohled
• šetrné ošetření

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 30 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
HIFU ošetření,HIFU tělo,single,HIFU formování břicha – celé břicho,Komplexní zpevnění a zeštíhlení celého břicha,"Transformujte celou oblast břicha pomocí pokročilé HIFU technologie. Fokusovaný ultrazvuk proniká do hloubky až 13 mm a cíleně redukuje tukové buňky, zatímco stimuluje tvorbu kolagenu pro pevnější a vypnutější kůži. Vaše břicho je postupně plošší, pevnější a kontury jsou viditelně vytvarovány. Cena závisí na rozsahu a počtu impulzů, nutná konzultace.",60,1,6500,"Redukce tukových buněk, zpevnění kůže, tvarování kontur, stimulace kolagenu",service-hifu.jpg,Profesionální hifu formování břicha – celé břicho pro viditelné zlepšení tělo. Redukce tukových buněk. Délka: 60 min.,"HIFU formování břicha – celé břicho je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu. Zaměřujeme se na oblast: tělo.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Redukce tukových buněk
• zpevnění kůže
• tvarování kontur
• stimulace kolagenu

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
HIFU ošetření,HIFU tělo,single,HIFU formování břicha – horní část,Precizní formování oblasti nad pupkem,"Zacilte na problematickou horní část břicha s přesností HIFU technologie. Fokusovaná energie redukuje tuková depozita a zpevňuje ochablou kůži v oblasti nad pupkem. Progresivní vytvarování a vypnutí pro hladší a pevnější břicho bez invazivního zákroku. Cena závisí na rozsahu a počtu impulzů, nutná konzultace.",60,1,3900,"Cílená redukce tuku, zpevnění horní části, vyhlazení kontur, neinvazivní řešení",service-hifu.jpg,Profesionální hifu formování břicha – horní část pro viditelné zlepšení tělo. Cílená redukce tuku. Délka: 60 min.,"HIFU formování břicha – horní část je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu. Zaměřujeme se na oblast: tělo.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Cílená redukce tuku
• zpevnění horní části
• vyhlazení kontur
• neinvazivní řešení

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
HIFU ošetření,HIFU tělo,single,HIFU formování břicha – dolní část,Efektivní řešení pro dolní část břicha,"Řešte nejnáročnější partie s precizní HIFU terapií. Fokusovaný ultrazvuk účinně redukuje tuková depozita a zpevňuje povolenou kůži v oblasti pod pupkem. Postupné zeštíhlení a vypnutí pro plošší a pevnější dolní břicho. Cena závisí na rozsahu a počtu impulzů, nutná konzultace.",60,1,3900,"Redukce dolního břicha, zpevnění kůže, vyhlazení kontur, cílené formování",service-hifu.jpg,Profesionální hifu formování břicha – dolní část pro viditelné zlepšení tělo. Redukce dolního břicha. Délka: 60 min.,"HIFU formování břicha – dolní část je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu. Zaměřujeme se na oblast: tělo.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Redukce dolního břicha
• zpevnění kůže
• vyhlazení kontur
• cílené formování

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
HIFU ošetření,HIFU tělo,single,HIFU formování paží,Zpevnění a tvarování paží pro elegantní siluetu,Získejte štíhlejší a pevnější paže bez náročného cvičení. HIFU technologie cíleně redukuje tukové buňky a vypíná povolenou kůži na pažích. Jemná stimulace kolagenu postupně zpevňuje tkáň a zlepšuje kontury pro elegantní vzhled paží v každém oblečení.,60,1,4900,"Zpevnění paží, redukce tuku, zlepšení kontur, bez rekonvalescence",service-hifu.jpg,Profesionální hifu formování paží pro viditelné zlepšení tělo. Zpevnění paží. Délka: 60 min.,"HIFU formování paží je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu. Zaměřujeme se na oblast: tělo.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Zpevnění paží
• redukce tuku
• zlepšení kontur
• bez rekonvalescence

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
HIFU ošetření,HIFU tělo,single,HIFU formování stehen – jedna oblast,Cílené tvarování vybrané partie stehen,Vylaďte problematickou partii stehen s přesností HIFU technologie. Zaměřte se na přední nebo zadní část podle vašich potřeb – fokusovaný ultrazvuk redukuje tukové buňky a zpevňuje kůži pro štíhlejší a vyhlazenější kontury nohou. Viditelné vytvarování bez operace.,60,1,6500,"Cílené zeštíhlení, zpevnění vybrané oblasti, vyhlazení kontur, přirozený výsledek",service-hifu.jpg,Profesionální hifu formování stehen – jedna oblast pro viditelné zlepšení tělo. Cílené zeštíhlení. Délka: 60 min.,"HIFU formování stehen – jedna oblast je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu. Zaměřujeme se na oblast: tělo.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Cílené zeštíhlení
• zpevnění vybrané oblasti
• vyhlazení kontur
• přirozený výsledek

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
HIFU ošetření,HIFU tělo,single,HIFU formování stehen – obě části,Komplexní transformace stehen pro harmonický vzhled,Dopřejte stehům komplexní péči s pokročilou HIFU technologií. Ošetření přední i zadní části pro celkové zeštíhlení a zpevnění. Fokusovaný ultrazvuk vytváří harmonické kontury a vypíná kůži pro štíhlejší a pevnější nohy. Ucelený výsledek pro sebevědomý vzhled.,60,1,9000,"Komplexní zeštíhlení stehen, celkové zpevnění, harmonické kontury, viditelný efekt",service-hifu.jpg,Profesionální hifu formování stehen – obě části pro viditelné zlepšení tělo. Komplexní zeštíhlení stehen. Délka: 60 min.,"HIFU formování stehen – obě části je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu. Zaměřujeme se na oblast: tělo.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Komplexní zeštíhlení stehen
• celkové zpevnění
• harmonické kontury
• viditelný efekt

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
HIFU ošetření,HIFU tělo,single,HIFU omlazení kolen,Jemné omlazení a vypnutí oblasti kolen,Oživte oblast kolen s šetrnou HIFU péčí. Fokusovaný ultrazvuk jemně vypíná povadlou kůži kolem kolen a stimuluje tvorbu kolagenu pro hladší a pevnější vzhled. Vaše nohy působí mladistvěji a kůže je viditelně vyhlazená bez náročného zákroku.,60,1,3500,"Vypnutí kůže, zpevnění oblasti kolen, mladistvější vzhled, stimulace kolagenu",service-hifu.jpg,Profesionální hifu omlazení kolen pro viditelné zlepšení tělo. Vypnutí kůže. Délka: 60 min.,"HIFU omlazení kolen je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu. Zaměřujeme se na oblast: tělo.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Vypnutí kůže
• zpevnění oblasti kolen
• mladistvější vzhled
• stimulace kolagenu

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
HIFU ošetření,HIFU tělo,package,HIFU facelift – balíček obličej + krk + dekolt,Luxusní omlazení obličeje s krkem a dekoltem,"Dopřejte si kompletní omlazení s premium HIFU 7D balíčkem. Pokročilá technologie vypíná pleť a zpevňuje kontury obličeje, krku i dekoltu v jediném ošetření. Fokusovaný ultrazvuk působí ve více hloubkách, stimuluje kolagen a redukuje vrásky pro komplexní lifting efekt. Vaše pleť je viditelně mladší, pevnější a harmonicky vypnutá.",60,1,8900,"Komplexní lifting efekt, zpevnění kontur, redukce vrásek, stimulace kolagenu",service-hifu.jpg,Profesionální hifu facelift – balíček obličej + krk + dekolt pro viditelné zlepšení tělo. Komplexní lifting efekt. Délka: 60 min.,"HIFU facelift – balíček obličej + krk + dekolt je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu. Zaměřujeme se na oblast: tělo.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Komplexní lifting efekt
• zpevnění kontur
• redukce vrásek
• stimulace kolagenu

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
HIFU ošetření,HIFU tělo,package,HIFU tvarování těla – individuální balíček,Personalizovaný program formování podle vašich potřeb,"Vytvořte si tvarování těla přesně na míru s individuálním HIFU balíčkem. Po vstupní konzultaci sestavíme personalizovaný plán pro vybrané partie jako břicho, paže, stehna nebo kombinaci oblastí. Fokusovaný ultrazvuk cíleně formuje vaši siluetu podle vašich přání a potřeb. Cena závisí na rozsahu ošetření a počtu impulzů, stanoví se po konzultaci.",60,1,12900,"Individuální plán, komplexní formování, cílené tvarování vybraných partií, personalizovaný přístup",service-hifu.jpg,Profesionální hifu tvarování těla – individuální balíček pro viditelné zlepšení tělo. Individuální plán. Délka: 60 min.,"HIFU tvarování těla – individuální balíček je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu. Zaměřujeme se na oblast: tělo.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Individuální plán
• komplexní formování
• cílené tvarování vybraných partií
• personalizovaný přístup

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
